estacion_id,fecha,hora,nivel_agua_m,velocidad_ms,caudal_m3_s,temperatura_C,pH,oxigeno_disuelto_mg_L,turbidez_NTU,conductividad_uS_cm
AMZ-IQT-001,2023-07-19,13:00,30.59,0.748,118359,30.1,6.28,5.89,196,84
AMZ-IQT-001,2023-07-20,14:00,32.28,0.789,124888,32.8,6.11,6.46,212,73
AMZ-IQT-001,2023-07-21,06:00,31.34,0.766,121242,30.3,6.43,6.06,164,89
AMZ-IQT-001,2023-07-22,07:00,30.32,0.741,117322,31.0,6.16,5.94,171,80
AMZ-IQT-001,2023-07-23,12:00,31.25,0.764,120901,30.6,6.71,6.8,177,97
AMZ-IQT-001,2023-07-24,13:00,32.43,0.793,125471,30.3,6.64,5.7,174,93
AMZ-IQT-001,2023-07-25,14:00,30.39,0.743,117587,29.9,6.39,6.06,160,90
AMZ-IQT-001,2023-07-26,12:00,33.91,0.829,131206,31.0,6.72,6.09,181,80
AMZ-IQT-001,2023-07-27,13:00,32.66,0.798,126354,30.3,6.6,6.78,185,95
AMZ-IQT-001,2023-07-28,10:00,33.22,0.812,128518,29.3,6.53,6.04,205,77
AMZ-IQT-001,2023-07-29,09:00,30.19,0.738,116813,28.9,6.29,5.93,166,91
AMZ-IQT-001,2023-07-30,09:00,29.56,0.723,114380,28.9,6.44,5.93,182,84
AMZ-IQT-001,2023-07-31,12:00,31.87,0.779,123309,29.8,6.44,7.39,197,85
AMZ-IQT-001,2023-08-01,11:00,33.3,0.814,128834,31.4,6.34,7.11,189,74
AMZ-IQT-001,2023-08-02,08:00,30.36,0.742,117458,30.5,6.54,6.03,177,94
AMZ-IQT-001,2023-08-03,12:00,29.26,0.715,113192,30.7,6.72,6.12,179,87
AMZ-IQT-001,2023-08-04,13:00,33.71,0.824,130417,31.2,6.17,6.43,203,91
AMZ-IQT-001,2023-08-05,10:00,31.46,0.769,121734,30.8,6.18,7.35,177,83
AMZ-IQT-001,2023-08-06,10:00,32.51,0.795,125789,31.0,6.65,6.52,182,80
AMZ-IQT-001,2023-08-07,07:00,32.88,0.804,127229,30.6,6.95,6.5,175,88
AMZ-IQT-001,2023-08-08,07:00,32.21,0.787,124617,31.7,6.38,6.08,210,83
AMZ-IQT-001,2023-08-09,13:00,31.77,0.777,122918,31.1,6.57,6.71,154,82
AMZ-IQT-001,2023-08-10,06:00,33.39,0.816,129185,29.6,6.48,6.53,186,85
AMZ-IQT-001,2023-08-11,14:00,33.28,0.813,128766,31.4,6.46,6.9,193,92
AMZ-IQT-001,2023-08-12,10:00,32.99,0.806,127655,30.5,6.19,6.72,209,79
AMZ-IQT-001,2023-08-13,07:00,33.08,0.808,127982,30.5,6.67,5.46,174,88
AMZ-IQT-001,2023-08-14,10:00,32.05,0.783,124001,30.0,6.71,6.78,191,77
AMZ-IQT-001,2023-08-15,08:00,35.81,0.875,138546,31.2,6.61,7.02,194,89
AMZ-IQT-001,2023-08-16,12:00,32.42,0.792,125440,30.6,6.67,6.67,174,85
AMZ-IQT-001,2023-08-17,07:00,32.55,0.796,125935,31.0,6.62,6.86,193,78
AMZ-IQT-001,2023-08-18,10:00,30.23,0.739,116949,30.0,6.78,6.72,159,83
AMZ-IQT-001,2023-08-19,08:00,32.0,0.782,123807,29.1,6.63,7.33,166,84
AMZ-IQT-001,2023-08-20,13:00,30.59,0.748,118362,30.9,6.5,6.86,152,100
AMZ-IQT-001,2023-08-21,11:00,32.17,0.786,124485,29.4,6.53,6.34,177,90
AMZ-IQT-001,2023-08-22,16:00,35.05,0.857,135600,29.4,6.62,6.19,212,93
AMZ-IQT-001,2023-08-23,16:00,37.6,0.919,145489,31.2,6.38,6.23,217,83
AMZ-IQT-001,2023-08-24,07:00,33.88,0.828,131097,31.0,6.56,6.58,212,76
AMZ-IQT-001,2023-08-25,15:00,33.28,0.814,128781,31.5,6.52,6.37,182,89
AMZ-IQT-001,2023-08-26,15:00,33.58,0.821,129936,30.8,6.57,7.16,209,94
AMZ-IQT-001,2023-08-27,11:00,35.18,0.86,136127,31.2,6.51,6.49,206,78
AMZ-IQT-001,2023-08-28,12:00,30.6,0.748,118396,32.0,6.92,6.95,182,84
AMZ-IQT-001,2023-08-29,07:00,33.36,0.815,129071,30.3,6.54,6.04,168,83
AMZ-IQT-001,2023-08-30,06:00,32.31,0.79,125026,30.9,6.94,5.92,168,88
AMZ-IQT-001,2023-08-31,07:00,32.39,0.792,125329,31.6,6.28,6.28,177,89
AMZ-IQT-001,2023-09-01,09:00,32.28,0.789,124881,31.4,6.65,6.11,179,91
AMZ-IQT-001,2023-09-02,10:00,30.65,0.749,118599,31.2,6.29,7.19,164,90
AMZ-IQT-001,2023-09-03,12:00,34.33,0.839,132829,31.1,6.77,6.8,202,79
AMZ-IQT-001,2023-09-04,12:00,34.06,0.832,131768,31.7,6.56,6.36,218,79
AMZ-IQT-001,2023-09-05,17:00,31.43,0.768,121608,31.3,6.3,6.36,177,72
AMZ-IQT-001,2023-09-06,09:00,35.12,0.858,135868,30.6,6.51,6.59,220,96
AMZ-IQT-001,2023-09-07,11:00,32.19,0.787,124552,30.3,6.24,7.15,208,85
AMZ-IQT-001,2023-09-08,13:00,33.46,0.818,129466,30.4,6.63,5.38,207,94
AMZ-IQT-001,2023-09-09,08:00,32.13,0.785,124329,32.1,6.4,6.21,165,98
AMZ-IQT-001,2023-09-10,15:00,31.01,0.758,119987,31.1,6.25,6.12,209,96
AMZ-IQT-001,2023-09-11,13:00,30.73,0.751,118890,31.1,5.92,5.56,165,88
AMZ-IQT-001,2023-09-12,14:00,30.91,0.755,119580,31.2,6.34,6.78,164,88
AMZ-IQT-001,2023-09-13,06:00,33.83,0.827,130878,30.7,6.33,6.85,175,88
AMZ-IQT-001,2023-09-14,07:00,31.62,0.773,122337,31.6,6.21,6.26,205,78
AMZ-IQT-001,2023-09-15,14:00,32.61,0.797,126187,30.7,6.61,6.57,199,80
AMZ-IQT-001,2023-09-16,15:00,32.16,0.786,124444,31.0,6.56,6.19,163,79
AMZ-IQT-001,2023-09-17,15:00,32.74,0.8,126686,30.2,6.96,7.57,195,90
AMZ-IQT-001,2023-09-18,10:00,33.3,0.814,128848,30.5,6.58,5.75,161,89
AMZ-IQT-001,2023-09-19,06:00,33.39,0.816,129205,30.1,6.45,7.24,210,79
AMZ-IQT-001,2023-09-20,13:00,32.89,0.804,127257,31.0,6.48,7.15,196,77
AMZ-IQT-001,2023-09-21,07:00,30.35,0.742,117414,30.8,6.69,6.24,175,89
AMZ-IQT-001,2023-09-22,09:00,33.37,0.816,129127,30.6,6.21,6.69,192,75
AMZ-IQT-001,2023-09-23,12:00,32.2,0.787,124580,28.9,6.13,7.08,204,86
AMZ-IQT-001,2023-09-24,07:00,32.89,0.804,127250,30.8,6.7,6.97,185,67
AMZ-IQT-001,2023-09-25,14:00,31.63,0.773,122375,30.0,6.29,6.74,169,91
AMZ-IQT-001,2023-09-26,11:00,31.24,0.764,120884,30.6,6.4,6.11,192,84
AMZ-IQT-001,2023-09-27,17:00,30.46,0.744,117838,30.0,6.39,6.77,163,92
AMZ-IQT-001,2023-09-28,08:00,31.25,0.764,120898,30.8,6.42,6.69,178,81
AMZ-IQT-001,2023-09-29,13:00,34.01,0.831,131587,30.1,6.83,5.6,183,63
AMZ-IQT-001,2023-09-30,09:00,32.91,0.804,127347,30.9,6.3,6.87,167,80
AMZ-IQT-001,2023-10-01,11:00,31.21,0.763,120749,30.5,6.8,7.15,187,88
AMZ-IQT-001,2023-10-02,08:00,31.32,0.766,121190,30.0,6.16,6.33,185,91
AMZ-IQT-001,2023-10-03,06:00,30.77,0.752,119056,29.7,6.52,6.41,159,69
AMZ-IQT-001,2023-10-04,11:00,31.87,0.779,123323,29.6,6.43,6.51,183,75
AMZ-IQT-001,2023-10-05,10:00,30.32,0.741,117302,31.1,6.55,6.59,205,82
AMZ-IQT-001,2023-10-06,16:00,33.13,0.81,128163,30.0,6.29,7.45,189,80
AMZ-IQT-001,2023-10-07,14:00,34.42,0.841,133161,29.8,6.43,6.72,203,90
AMZ-IQT-001,2023-10-08,13:00,30.08,0.735,116395,31.7,6.4,6.99,190,84
AMZ-IQT-001,2023-10-09,09:00,32.96,0.806,127530,28.3,6.62,6.71,175,68
AMZ-IQT-001,2023-10-10,06:00,31.43,0.768,121602,30.5,6.4,6.88,186,79
AMZ-IQT-001,2023-10-11,14:00,32.05,0.783,123987,30.8,6.25,6.11,174,81
AMZ-IQT-001,2023-10-12,17:00,33.27,0.813,128714,30.8,6.4,6.41,193,76
AMZ-IQT-001,2023-10-13,08:00,32.54,0.795,125882,29.8,6.43,6.47,181,92
AMZ-IQT-001,2023-10-14,15:00,34.81,0.851,134690,30.2,6.59,7.4,192,86
AMZ-IQT-001,2023-10-15,14:00,31.89,0.779,123365,29.9,6.26,6.57,175,87
AMZ-IQT-001,2023-10-16,13:00,32.66,0.798,126366,29.9,6.36,6.3,188,88
AMZ-IQT-001,2023-10-17,14:00,31.12,0.761,120392,30.0,6.47,6.42,201,92
AMZ-IQT-001,2023-10-18,12:00,31.7,0.775,122641,29.8,6.52,6.61,191,77
AMZ-IQT-001,2023-10-19,13:00,34.87,0.852,134902,29.2,6.12,6.25,172,88
AMZ-IQT-001,2023-10-20,08:00,30.79,0.753,119145,30.0,6.46,5.83,202,87
AMZ-IQT-001,2023-10-21,10:00,33.15,0.81,128271,30.9,6.26,6.38,177,86
AMZ-IQT-001,2023-10-22,06:00,28.29,0.691,109456,30.2,6.52,6.35,166,73
AMZ-IQT-001,2023-10-23,15:00,30.77,0.752,119056,30.6,6.99,7.32,174,83
AMZ-IQT-001,2023-10-24,13:00,31.36,0.766,121334,30.5,6.4,6.04,190,83
AMZ-IQT-001,2023-10-25,10:00,27.6,0.675,106791,28.8,6.65,7.41,150,90
AMZ-IQT-001,2023-10-26,15:00,28.49,0.696,110225,28.9,6.25,5.75,165,80
AMZ-IQT-001,2023-10-27,10:00,33.09,0.809,128044,29.4,6.4,6.72,181,79
AMZ-IQT-001,2023-10-28,14:00,27.83,0.68,107690,28.1,6.53,5.95,146,85
AMZ-IQT-001,2023-10-29,06:00,31.58,0.772,122176,27.3,6.79,6.44,171,84
AMZ-IQT-001,2023-10-30,16:00,30.34,0.741,117371,27.9,6.3,6.76,160,91
AMZ-IQT-001,2023-10-31,12:00,30.53,0.746,118127,28.3,6.29,6.95,150,93
AMZ-IQT-001,2023-11-01,06:00,69.57,1.7,269173,28.9,6.5,7.26,383,70
AMZ-IQT-001,2023-11-02,13:00,59.77,1.461,231270,28.1,6.38,5.7,324,86
AMZ-IQT-001,2023-11-03,12:00,63.5,1.552,245694,29.2,6.61,7.13,324,84
AMZ-IQT-001,2023-11-04,06:00,60.56,1.48,234311,31.0,6.82,7.01,323,90
AMZ-IQT-001,2023-11-05,09:00,64.13,1.567,248125,29.1,6.51,5.65,352,74
AMZ-IQT-001,2023-11-06,14:00,65.48,1.601,253356,29.5,6.45,6.46,374,75
AMZ-IQT-001,2023-11-07,11:00,53.2,1.3,205832,30.2,6.18,7.22,298,71
AMZ-IQT-001,2023-11-08,17:00,54.66,1.336,211493,27.4,5.75,6.26,343,90
AMZ-IQT-001,2023-11-09,17:00,58.77,1.436,227367,28.8,6.54,6.37,290,88
AMZ-IQT-001,2023-11-10,14:00,57.54,1.406,222615,28.4,6.04,6.06,293,87
AMZ-IQT-001,2023-11-11,14:00,55.09,1.346,213139,28.6,6.27,7.11,301,81
AMZ-IQT-001,2023-11-12,12:00,62.05,1.517,240089,27.6,6.02,6.72,338,84
AMZ-IQT-001,2023-11-13,16:00,64.14,1.568,248160,28.1,6.53,6.25,352,94
AMZ-IQT-001,2023-11-14,11:00,56.93,1.391,220256,28.6,6.09,5.9,313,81
AMZ-IQT-001,2023-11-15,10:00,52.91,1.293,204719,28.0,6.51,6.13,275,80
AMZ-IQT-001,2023-11-16,17:00,68.43,1.673,264754,27.5,6.1,6.71,407,83
AMZ-IQT-001,2023-11-17,06:00,59.06,1.443,228491,29.9,6.32,6.11,303,85
AMZ-IQT-001,2023-11-18,07:00,66.59,1.628,257633,28.9,6.46,6.07,375,86
AMZ-IQT-001,2023-11-19,14:00,60.82,1.487,235333,29.0,6.35,5.72,335,98
AMZ-IQT-001,2023-11-20,17:00,58.34,1.426,225717,28.6,6.77,6.84,334,97
AMZ-IQT-001,2023-11-21,10:00,65.43,1.599,253162,28.4,6.62,6.59,363,81
AMZ-IQT-001,2023-11-22,06:00,61.55,1.504,238125,29.4,6.53,6.19,359,82
AMZ-IQT-001,2023-11-23,09:00,62.37,1.524,241299,27.9,6.63,6.66,362,71
AMZ-IQT-001,2023-11-24,12:00,61.86,1.512,239320,27.9,6.2,6.42,383,95
AMZ-IQT-001,2023-11-25,09:00,63.83,1.56,246953,26.4,6.71,6.68,362,107
AMZ-IQT-001,2023-11-26,11:00,53.59,1.31,207324,28.2,6.77,6.8,309,96
AMZ-IQT-001,2023-11-27,09:00,63.76,1.558,246678,27.8,6.61,6.8,339,61
AMZ-IQT-001,2023-11-28,17:00,58.6,1.432,226717,27.6,6.43,6.16,326,78
AMZ-IQT-001,2023-11-29,09:00,58.04,1.419,224564,27.3,6.58,6.2,313,84
AMZ-IQT-001,2023-11-30,07:00,56.01,1.369,216717,27.7,6.72,6.44,300,78
AMZ-IQT-001,2023-12-01,12:00,60.03,1.467,232251,29.0,6.51,5.71,341,98
AMZ-IQT-001,2023-12-02,09:00,55.69,1.361,215483,28.0,6.52,6.42,307,95
AMZ-IQT-001,2023-12-03,07:00,60.02,1.467,232219,27.9,6.78,6.44,351,78
AMZ-IQT-001,2023-12-04,14:00,63.1,1.542,244156,27.7,6.28,7.0,333,83
AMZ-IQT-001,2023-12-05,08:00,57.55,1.407,222647,27.7,6.54,6.05,330,68
AMZ-IQT-001,2023-12-06,06:00,51.7,1.264,200049,27.7,6.55,5.7,282,90
AMZ-IQT-001,2023-12-07,16:00,52.65,1.287,203689,27.3,6.02,6.61,287,77
AMZ-IQT-001,2023-12-08,11:00,57.75,1.412,223438,27.3,6.5,5.89,319,75
AMZ-IQT-001,2023-12-09,16:00,55.72,1.362,215570,28.7,6.73,6.46,290,87
AMZ-IQT-001,2023-12-10,15:00,54.68,1.336,211558,28.2,6.44,5.96,304,80
AMZ-IQT-001,2023-12-11,06:00,58.82,1.438,227571,25.8,6.61,6.82,305,86
AMZ-IQT-001,2023-12-12,14:00,57.21,1.398,221352,27.5,6.41,6.69,313,93
AMZ-IQT-001,2023-12-13,17:00,58.36,1.426,225799,26.6,6.51,7.06,356,89
AMZ-IQT-001,2023-12-14,08:00,62.77,1.534,242873,27.1,6.22,5.98,366,78
AMZ-IQT-001,2023-12-15,16:00,55.45,1.355,214525,26.2,6.66,6.17,297,84
AMZ-IQT-001,2023-12-16,17:00,57.03,1.394,220641,27.5,6.22,6.67,340,75
AMZ-IQT-001,2023-12-17,16:00,56.77,1.388,219645,26.9,6.36,6.65,333,76
AMZ-IQT-001,2023-12-18,15:00,58.03,1.418,224522,25.9,6.48,6.25,307,86
AMZ-IQT-001,2023-12-19,10:00,58.05,1.419,224596,27.5,6.85,6.31,310,83
AMZ-IQT-001,2023-12-20,15:00,55.69,1.361,215450,25.3,6.32,6.99,333,78
AMZ-IQT-001,2023-12-21,06:00,59.3,1.449,229434,27.2,6.36,7.19,349,86
AMZ-IQT-001,2023-12-22,17:00,54.59,1.334,211211,25.7,6.37,6.2,298,86
AMZ-IQT-001,2023-12-23,10:00,56.26,1.375,217665,26.5,6.52,6.01,309,89
AMZ-IQT-001,2023-12-24,16:00,56.44,1.38,218371,26.1,6.26,6.8,320,82
AMZ-IQT-001,2023-12-25,07:00,58.54,1.431,226479,26.5,6.46,6.72,332,88
AMZ-IQT-001,2023-12-26,16:00,53.58,1.31,207302,27.0,6.18,6.16,303,78
AMZ-IQT-001,2023-12-27,08:00,54.41,1.33,210533,26.9,6.46,6.44,286,82
AMZ-IQT-001,2023-12-28,11:00,59.33,1.45,229556,27.5,6.24,7.53,350,72
AMZ-IQT-001,2023-12-29,06:00,53.76,1.314,207986,27.1,6.37,6.21,334,75
AMZ-IQT-001,2023-12-30,11:00,55.42,1.354,214404,25.7,6.43,6.27,318,90
AMZ-IQT-001,2023-12-31,11:00,58.99,1.442,228217,26.6,6.4,6.4,332,93
AMZ-IQT-001,2024-01-01,14:00,58.68,1.434,227027,26.7,6.73,6.24,314,93
AMZ-IQT-001,2024-01-02,08:00,52.85,1.292,204470,26.1,6.25,6.31,300,103
AMZ-IQT-001,2024-01-03,09:00,57.38,1.402,222003,27.4,6.91,6.86,328,84
AMZ-IQT-001,2024-01-04,16:00,50.23,1.228,194337,25.7,6.25,6.54,261,85
AMZ-IQT-001,2024-01-05,10:00,58.25,1.424,225369,25.8,6.5,6.46,324,85
AMZ-IQT-001,2024-01-06,13:00,52.43,1.281,202855,26.9,6.51,6.67,332,70
AMZ-IQT-001,2024-01-07,11:00,52.29,1.278,202296,27.2,6.42,6.04,294,79
AMZ-IQT-001,2024-01-08,17:00,58.9,1.44,227900,25.5,6.83,6.31,341,82
AMZ-IQT-001,2024-01-09,12:00,52.93,1.294,204805,25.4,6.35,6.43,300,86
AMZ-IQT-001,2024-01-10,14:00,56.81,1.389,219811,24.5,6.05,7.44,335,89
AMZ-IQT-001,2024-01-11,06:00,54.21,1.325,209742,26.0,6.47,6.28,322,73
AMZ-IQT-001,2024-01-12,10:00,56.09,1.371,217011,26.3,6.29,6.15,312,89
AMZ-IQT-001,2024-01-13,11:00,58.08,1.42,224730,25.8,6.56,6.76,311,76
AMZ-IQT-001,2024-01-14,11:00,51.13,1.25,197843,26.8,6.5,6.33,298,100
AMZ-IQT-001,2024-01-15,07:00,51.1,1.249,197723,24.1,6.45,6.28,289,82
AMZ-IQT-001,2024-01-16,09:00,54.42,1.33,210571,25.7,6.47,6.47,322,76
AMZ-IQT-001,2024-01-17,09:00,52.33,1.279,202449,26.8,6.7,6.01,289,95
AMZ-IQT-001,2024-01-18,13:00,53.28,1.302,206141,24.6,6.47,7.44,294,84
AMZ-IQT-001,2024-01-19,10:00,50.33,1.23,194727,25.7,6.63,5.77,270,92
AMZ-IQT-001,2024-01-20,17:00,53.13,1.298,205545,26.0,6.66,6.27,277,77
AMZ-IQT-001,2024-01-21,12:00,54.67,1.336,211505,26.6,6.44,5.81,318,84
AMZ-IQT-001,2024-01-22,16:00,51.8,1.266,200405,24.5,6.53,6.27,320,105
AMZ-IQT-001,2024-01-23,17:00,48.51,1.186,187674,25.0,6.51,6.09,273,75
AMZ-IQT-001,2024-01-24,15:00,51.9,1.268,200786,25.9,6.18,5.97,316,100
AMZ-IQT-001,2024-01-25,13:00,58.13,1.421,224888,26.0,6.23,5.98,308,86
AMZ-IQT-001,2024-01-26,15:00,58.4,1.427,225965,23.9,6.49,6.63,345,78
AMZ-IQT-001,2024-01-27,10:00,52.12,1.274,201660,24.5,6.63,6.31,290,75
AMZ-IQT-001,2024-01-28,13:00,52.05,1.272,201387,26.3,6.34,6.43,310,90
AMZ-IQT-001,2024-01-29,06:00,52.76,1.29,204135,25.1,5.91,6.36,291,98
AMZ-IQT-001,2024-01-30,12:00,56.91,1.391,220178,25.7,6.29,6.52,275,97
AMZ-IQT-001,2024-01-31,10:00,52.34,1.279,202498,23.0,7.01,6.12,278,91
AMZ-IQT-001,2024-02-01,10:00,52.78,1.29,204193,25.5,6.72,6.7,305,83
AMZ-IQT-001,2024-02-02,17:00,50.81,1.242,196590,25.1,6.58,6.86,287,91
AMZ-IQT-001,2024-02-03,12:00,50.01,1.222,193494,24.4,6.52,6.98,294,83
AMZ-IQT-001,2024-02-04,10:00,50.64,1.238,195946,25.6,6.83,6.89,288,75
AMZ-IQT-001,2024-02-05,14:00,52.3,1.278,202334,24.7,6.92,5.99,287,97
AMZ-IQT-001,2024-02-06,10:00,49.6,1.212,191889,26.0,6.55,6.96,288,79
AMZ-IQT-001,2024-02-07,09:00,53.36,1.304,206466,24.5,6.62,5.9,306,82
AMZ-IQT-001,2024-02-08,08:00,54.53,1.333,210966,23.6,6.31,6.89,300,68
AMZ-IQT-001,2024-02-09,13:00,56.64,1.384,219143,25.7,6.49,6.58,340,94
AMZ-IQT-001,2024-02-10,12:00,56.31,1.376,217854,26.0,6.39,6.55,324,95
AMZ-IQT-001,2024-02-11,15:00,55.05,1.346,212994,24.7,6.47,6.44,301,91
AMZ-IQT-001,2024-02-12,15:00,47.89,1.17,185276,25.8,6.81,6.44,281,95
AMZ-IQT-001,2024-02-13,14:00,55.52,1.357,214801,24.9,6.62,6.11,307,77
AMZ-IQT-001,2024-02-14,11:00,53.35,1.304,206432,24.8,6.45,6.15,330,82
AMZ-IQT-001,2024-02-15,15:00,54.17,1.324,209568,25.0,6.31,6.96,311,77
AMZ-IQT-001,2024-02-16,11:00,55.07,1.346,213077,25.1,6.73,5.89,321,89
AMZ-IQT-001,2024-02-17,06:00,52.29,1.278,202329,25.0,6.41,6.65,325,83
AMZ-IQT-001,2024-02-18,14:00,51.12,1.249,197787,22.9,6.24,6.21,288,77
AMZ-IQT-001,2024-02-19,07:00,48.9,1.195,189194,24.9,6.76,5.43,282,87
AMZ-IQT-001,2024-02-20,11:00,52.79,1.29,204253,24.3,6.89,6.09,313,77
AMZ-IQT-001,2024-02-21,08:00,51.26,1.253,198333,25.3,6.48,5.3,268,77
AMZ-IQT-001,2024-02-22,07:00,54.63,1.335,211371,23.7,6.55,5.76,301,78
AMZ-IQT-001,2024-02-23,06:00,56.88,1.39,220086,24.9,6.68,6.48,314,80
AMZ-IQT-001,2024-02-24,08:00,54.35,1.329,210296,25.3,6.14,5.98,296,84
AMZ-IQT-001,2024-02-25,14:00,52.7,1.288,203886,24.8,6.88,6.03,279,91
AMZ-IQT-001,2024-02-26,16:00,49.11,1.2,190023,25.1,6.31,6.38,268,92
AMZ-IQT-001,2024-02-27,13:00,56.61,1.384,219028,25.6,6.01,6.05,291,88
AMZ-IQT-001,2024-02-28,06:00,56.74,1.387,219532,25.3,6.46,6.7,340,87
AMZ-IQT-001,2024-02-29,06:00,57.1,1.396,220936,24.1,6.69,5.48,298,89
AMZ-IQT-001,2024-03-01,11:00,52.15,1.275,201784,24.5,6.17,7.25,261,91
AMZ-IQT-001,2024-03-02,11:00,55.9,1.366,216282,25.1,6.19,6.95,309,99
AMZ-IQT-001,2024-03-03,15:00,52.58,1.285,203441,22.8,6.77,6.79,308,84
AMZ-IQT-001,2024-03-04,13:00,56.3,1.376,217837,26.0,6.51,7.21,343,73
AMZ-IQT-001,2024-03-05,07:00,55.4,1.354,214348,22.9,6.47,6.92,290,92
AMZ-IQT-001,2024-03-06,11:00,52.39,1.28,202694,24.1,6.39,5.99,298,88
