estacion_id,nombre_estacion,tipo_estacion,distancia_desde_iquitos_km,latitud_decimal,longitud_decimal,altitud_msnm,ancho_local_m,profundidad_media_m,profundidad_maxima_m,velocidad_superficial_ms,area_seccion_transversal_m2,perimetro_mojado_m,temperatura_agua_C,pH,conductividad_uS_cm,turbidez_NTU,oxigeno_disuelto_mg_L,solidos_suspendidos_mg_L,difusividad_longitudinal_m2_s,difusividad_transversal_m2_s,difusividad_vertical_m2_s,coef_dispersion_longitudinal,numero_peclet_local,k_biodegradacion_1_s,k_sedimentacion_1_s,k_volatilizacion_1_s,k_fotolisis_1_s,k_adsorcion_1_s,fecha_instalacion,estado_operativo,frecuencia_muestreo_dias,responsable_institucional,caudal_estimado_m3_s,tiempo_residencia_h
AMZ-RUR-014,Estacion Amazonas 014,Rural,31.29,-3.922772,-71.995703,106.0434097,4128,41.5,74.7,0.911,171312,4211,25.7,7.23,114,149,6.98,93,251.5,10.15,0.75,4114.739471,3.622266402,0.000348358,7.02E-05,0.000100553,3.90E-05,0.000157875,8/21/2020,Activa,15,IDEAM-Colombia,156065.232,0.304915234
AMZ-URB-015,Estacion Amazonas 015,Urbana,33,-3.93254,-71.9272,100.0246232,4177,41.7,75.1,0.912,174180.9,4260.4,26.4,7.22,87,165,6.36,66,253.1,10.21,0.755,4197.400588,3.603318846,0.000380236,7.94E-05,7.18E-05,8.44E-05,0.000337586,12/15/2023,Activa,7,IIAP-Peru,158852.9808,0.304580897
AMZ-URB-016,Estacion Amazonas 016,Urbana,34,-3.938262,-71.887067,105.5088395,4601,45.8,82.5,0.998,210725.8,4692.6,27.2,7.1,95,174,4.81,97,277.9,11.21,0.829,5074.137305,3.591219863,0.000235783,9.52E-05,7.67E-05,2.53E-05,0.000162761,7/26/2022,Activa,30,SENAMHI-Peru,210304.3484,0.278334447
AMZ-URB-017,Estacion Amazonas 017,Urbana,34.14,-3.939052,-71.881531,105.2956246,3754,37.4,67.3,0.813,140399.6,3828.8,28.5,6.68,127,140,7.24,115,226.6,9.14,0.676,3369.769267,3.587819947,0.000378356,0.000128286,6.72E-05,8.37E-05,0.000209489,3/21/2023,Activa,7,IIAP-Peru,114144.8748,0.341670083
AMZ-URB-018,Estacion Amazonas 018,Urbana,36,-3.949707,-71.8068,97.15504273,4376,43.3,77.9,0.937,189480.8,4462.6,25.1,6.76,89,175,5.03,99,262.5,10.59,0.783,4558.259086,3.56952381,0.000227299,7.76E-05,5.78E-05,4.46E-05,0.000224889,1/1/2021,Activa,7,IDEAM-Colombia,177543.5096,0.296454405
AMZ-URB-019,Estacion Amazonas 019,Urbana,36.98,-3.955331,-71.767359,104.8227532,4479,44.2,79.5,0.953,197971.8,4567.4,26.1,6.32,108,231,5.23,127,267.9,10.81,0.799,4758.010996,3.557297499,0.000380889,0.000104466,0.000116202,2.38E-05,0.000164613,7/10/2023,Activa,1,SENAMHI-Peru,188667.1254,0.291477206
AMZ-URB-020,Estacion Amazonas 020,Urbana,37,-3.95543,-71.766667,97.53350481,4332,42.7,76.9,0.922,184976.4,4417.4,28,7.05,91,175,8.63,91,259.1,10.46,0.773,4457.307818,3.558471633,0.000250897,0.000202329,0.000117442,7.90E-05,0.000191109,12/6/2022,Activa,15,Universidad Nacional Colombia,170548.2408,0.301277416
AMZ-RUR-021,Estacion Amazonas 021,Rural,39.83,-3.97161,-71.653186,91.27032637,5240,51.2,92.2,1.095,268288,5342.4,27.5,6.29,104,246,5.28,104,310.6,12.53,0.926,6459.507656,3.525434643,0.000349459,0.000210677,6.93E-05,2.72E-05,0.000262013,11/30/2021,Activa,15,Universidad Nacional Amazonia Peruana,293775.36,0.253678336
AMZ-RUR-022,Estacion Amazonas 022,Rural,42.67,-3.98789,-71.539014,101.9553381,5384,52.2,93.9,1.105,281044.8,5488.4,28.1,6.46,92,226,7.43,152,316.3,12.76,0.943,6749.856852,3.493518811,0.000285574,9.76E-05,6.09E-05,4.56E-05,0.000189587,10/10/2021,Activa,30,Universidad Nacional Amazonia Peruana,310554.504,0.251382604
AMZ-RUR-023,Estacion Amazonas 023,Rural,45.52,-4.004169,-71.424841,108.793059,5554,53.3,96,1.12,296028.2,5660.6,25.9,6.74,88,220,5.92,123,323.4,13.05,0.964,7130.093905,3.463203463,0.000418154,0.000201922,4.71E-05,6.24E-05,9.42E-05,5/3/2024,Activa,7,SENAMHI-Peru,331551.584,0.248015873
AMZ-RUR-024,Estacion Amazonas 024,Rural,48.36,-4.020448,-71.310669,99.09460173,7016,66.8,120.2,1.389,468668.8,7149.6,25.3,6.55,97,267,6.71,159,404.9,16.34,1.208,11258.94322,3.430476661,0.000288513,0.000104128,8.48E-05,6.65E-05,0.000283872,1/10/2023,Activa,15,IDEAM-Colombia,650980.9632,0.199984001
AMZ-RUR-025,Estacion Amazonas 025,Rural,51.21,-4.036728,-71.196497,93.2968519,6432,60.7,109.2,1.252,390422.4,6553.4,26.6,6.75,90,264,7.31,204,368,14.85,1.097,9386.428892,3.402173913,0.000226224,0.000112986,8.17E-05,4.43E-05,0.000292085,12/14/2020,Activa,15,Universidad Nacional Amazonia Peruana,488808.8448,0.221867235
AMZ-RUR-026,Estacion Amazonas 026,Rural,54.05,-4.053007,-71.082324,94.21130845,5672,53,95.5,1.085,300616,5778,25.5,6.44,93,198,6.62,114,321.7,12.98,0.959,7244.67651,3.372707491,0.000601891,0.000116652,6.86E-05,2.83E-05,0.000139776,1/5/2022,Mantenimiento,7,Universidad Nacional Amazonia Peruana,326168.36,0.256016385
AMZ-RUR-027,Estacion Amazonas 027,Rural,56.9,-4.069286,-70.968152,88.52485441,6588,61.1,110,1.238,402526.8,6710.2,26.5,7.05,104,208,7.17,163,370.4,14.95,1.105,9673.403434,3.342332613,0.000379017,9.70E-05,8.80E-05,4.82E-05,0.000225254,6/27/2023,Activa,30,Universidad Nacional Amazonia Peruana,498328.1784,0.224376234
AMZ-RUR-028,Estacion Amazonas 028,Rural,59.74,-4.085566,-70.853979,98.41987539,5701,52.4,94.3,1.053,298732.4,5805.8,26.2,6.45,86,244,5.97,124,317.8,12.82,0.948,7184.422286,3.313404657,0.000421448,4.70E-05,9.48E-05,4.44E-05,0.000179146,3/4/2021,Activa,7,IDEAM-Colombia,314565.2172,0.26379656
AMZ-RUR-029,Estacion Amazonas 029,Rural,62.59,-4.101845,-70.739807,92.39819244,5142,46.9,84.4,0.934,241159.8,5235.8,27.5,6.32,118,145,5.72,97,284.3,11.47,0.848,5792.030809,3.285262047,0.00068969,0.000120694,5.73E-05,4.87E-05,0.000302575,7/18/2021,Activa,30,SINCHI-Colombia,225243.2532,0.297406614
AMZ-RUR-030,Estacion Amazonas 030,Rural,65.43,-4.118124,-70.625634,95.49603539,4494,40.6,73.1,0.803,182456.4,4575.2,28.3,6.58,102,178,5.98,137,246.3,9.94,0.735,4393.881428,3.260251726,0.000423163,0.000112008,7.29E-05,2.36E-05,0.000152928,8/21/2022,Activa,30,Universidad Nacional Amazonia Peruana,146512.4892,0.345925003
AMZ-RUR-031,Estacion Amazonas 031,Rural,68.28,-4.134403,-70.511462,81.11392792,4222,37.8,68.1,0.742,159591.6,4297.6,27.9,6.54,106,168,7.53,133,229.5,9.26,0.684,3848.940953,3.233115468,0.000318861,5.53E-05,8.29E-05,5.24E-05,0.000187969,6/8/2020,Activa,7,SINCHI-Colombia,118416.9672,0.374363582
AMZ-RUR-032,Estacion Amazonas 032,Rural,71.12,-4.150683,-70.39729,89.95419796,4268,37.9,68.3,0.738,161757.2,4343.8,27.7,6.78,111,158,6.02,75,230.1,9.28,0.686,3901.742988,3.207301173,0.000221874,0.000155541,6.83E-05,8.44E-05,0.000163891,4/1/2022,Activa,30,SENAMHI-Peru,119376.8136,0.376392653
AMZ-RUR-033,Estacion Amazonas 033,Rural,73.97,-4.166962,-70.283117,80,3966,35,63,0.674,138810,4036,26.9,6.75,108,153,5.62,91,212.1,8.56,0.633,3331.884645,3.177746346,0.000363469,0.000302274,7.34E-05,7.51E-05,0.0001163,6/6/2022,Activa,30,IDEAM-Colombia,93557.94,0.412133201
AMZ-RUR-034,Estacion Amazonas 034,Rural,76.81,-4.183241,-70.168945,80.0474182,4833,42.3,76.1,0.809,204435.9,4917.6,26.1,6.59,100,172,7.26,96,256.4,10.35,0.765,4913.991825,3.155226209,0.000296121,6.40E-05,5.50E-05,1.89E-05,0.000268522,4/6/2021,Activa,15,IIAP-Peru,165388.6431,0.343359429
AMZ-URB-035,Estacion Amazonas 035,Urbana,79.66,-4.199521,-70.054772,80,5027,43.6,78.5,0.828,219177.2,5114.2,27.1,6.9,105,180,6.31,98,264.5,10.67,0.789,5279.032104,3.130434783,0.000379969,0.000174212,9.50E-05,4.14E-05,0.000281844,6/7/2020,Activa,7,IDEAM-Colombia,181478.7216,0.335480408
AMZ-URB-036,Estacion Amazonas 036,Urbana,80,-4.201494,-70.040933,80,5643,48.9,88.1,0.927,275942.7,5740.8,26.8,6.71,115,194,5.78,123,296.6,11.97,0.885,6640.23823,3.125421443,0.000358403,4.30E-05,7.62E-05,4.42E-05,0.000110083,4/5/2022,Activa,7,IDEAM-Colombia,255798.8829,0.299652403
AMZ-URB-037,Estacion Amazonas 037,Urbana,81,-4.207216,-70.0008,90.26033336,6318,54.6,98.3,1.032,344962.8,6427.2,28.8,6.9,88,221,7.29,173,331.2,13.36,0.988,8299.252594,3.115942029,0.00021463,0.000170053,5.58E-05,4.11E-05,0.00030806,5/22/2022,Activa,15,IDEAM-Colombia,356001.6096,0.269164513
AMZ-URB-038,Estacion Amazonas 038,Urbana,82.5,-4.2158,-69.9406,80,5944,51.2,92.1,0.963,304332.8,6046.4,26.5,6.73,106,167,5.84,147,310.3,12.52,0.925,7309.818821,3.103448276,0.000295519,0.000117676,8.65E-05,2.08E-05,0.00021905,2/16/2023,Activa,30,Universidad Nacional Colombia,293072.4864,0.288450444
